,fma_track_id,title.1,name,bit_rate,duration,genre_top
0,2,Food,AWOL,256000.0,168.0,Hip-Hop
1,3,Electric Ave,AWOL,256000.0,237.0,Hip-Hop
2,5,This World,AWOL,256000.0,206.0,Hip-Hop
3,10,Freeway,Kurt Vile,192000.0,161.0,Pop
4,134,Street Music,AWOL,256000.0,207.0,Hip-Hop
5,135,Father's Day,Abominog,256000.0,837.0,Rock
6,136,Peel Back The Mountain Sky,Abominog,256000.0,509.0,Rock
7,151,Untitled 04,Animal Writes,192000.0,192.0,Rock
8,152,Untitled 11,Animal Writes,192000.0,193.0,Rock
9,153,Hundred-Year Flood,Arc and Sender,256000.0,405.0,Rock
10,154,Squares And Circles,Arc and Sender,256000.0,319.0,Rock
11,155,Maps of the Stars Homes,Arc and Sender,192000.0,756.0,Rock
12,169,Boss of Goth,Argumentix,192000.0,144.0,Rock
13,170,Industry Standard Massacre,Argumentix,192000.0,181.0,Rock
14,171,Marching as Technitions,Argumentix,320000.0,80.0,Rock
15,172,I Can't Stand You Up-right,Argumentix,192000.0,206.0,Rock
16,173,Save Life's Golden Receipt In Case Refund Needed,Argumentix,192000.0,218.0,Rock
17,174,Senator's Stance,Argumentix,192000.0,199.0,Rock
18,175,Snapped Today,Argumentix,192000.0,111.0,Rock
19,176,Step Up to Legends,Argumentix,320000.0,160.0,Rock
20,177,Petty Hate Machine,Argumentix,192000.0,129.0,Rock
21,178,Lend Me a Blanket,Argumentix,192000.0,259.0,Rock
22,179,Ready to Die,Argumentix,320000.0,90.0,Rock
23,181,Gopacapulco,Ariel Pink's Haunted Graffiti,256000.0,171.0,Rock
24,182,Jules Lost His Jewels,Ariel Pink's Haunted Graffiti,256000.0,228.0,Rock
25,183,For Kate I Wait,Ariel Pink's Haunted Graffiti,256000.0,260.0,Rock
26,184,Helen,Ariel Pink's Haunted Graffiti,256000.0,254.0,Rock
27,213,Boute,Au,256000.0,247.0,Pop
28,226,W.T.M.,Bad News Bats,197144.0,231.0,Rock
